storm_id,storm_name,year,fulldate,time,lat_center,lon_center,max_sus_wind_speed,
2000255N31289,FLORENCE,2000,20000912,2100,30.7301,-73.4924,65,
2000255N31289,FLORENCE,2000,20000913,0000,30.8,-73.7,65,
2000255N31289,FLORENCE,2000,20000913,0300,30.765,-73.8952,65,
2000255N31289,FLORENCE,2000,20000913,0600,30.7,-74,65,
2000255N31289,FLORENCE,2000,20000913,0900,30.7075,-73.93,62,
2000255N31289,FLORENCE,2000,20000913,1200,30.7,-73.8,60,
2000255N31289,FLORENCE,2000,20000913,1500,30.6225,-73.7425,57,
2000255N31289,FLORENCE,2000,20000913,1800,30.5,-73.7,55,
2000255N31289,FLORENCE,2000,20000913,2100,30.38,-73.6425,52,
2000255N31289,FLORENCE,2000,20000914,0000,30.2,-73.6,50,
2000255N31289,FLORENCE,2000,20000914,0300,29.885,-73.6076,47,
2000255N31289,FLORENCE,2000,20000914,0600,29.6,-73.6,45,
2000255N31289,FLORENCE,2000,20000914,0900,29.52,-73.5226,45,
2000255N31289,FLORENCE,2000,20000914,1200,29.5,-73.4,45,
2000255N31289,FLORENCE,2000,20000914,1500,29.4,-73.2574,45,
2000255N31289,FLORENCE,2000,20000914,1800,29.3,-73.1,45,
2000255N31289,FLORENCE,2000,20000914,2100,29.2425,-72.9576,45,
2000255N31289,FLORENCE,2000,20000915,0000,29.2,-72.8,45,
2000255N31289,FLORENCE,2000,20000915,0300,29.0895,-72.6667,45,
2000255N31289,FLORENCE,2000,20000915,0600,29.1,-72.4,45,
2000255N31289,FLORENCE,2000,20000915,0900,29.42,-71.8836,47,
2000255N31289,FLORENCE,2000,20000915,1200,29.8,-71.2,50,
2000255N31289,FLORENCE,2000,20000915,1500,29.9489,-70.5231,55,
2000255N31289,FLORENCE,2000,20000915,1800,30.1,-69.7,60,
2000255N31289,FLORENCE,2000,20000915,2100,30.3391,-68.5915,62,
2000255N31289,FLORENCE,2000,20000916,0000,30.8,-67.5,65,
2000255N31289,FLORENCE,2000,20000916,0300,31.6228,-66.776,65,
2000255N31289,FLORENCE,2000,20000916,0600,32.6,-66.1,65,
2000255N31289,FLORENCE,2000,20000916,0900,33.4492,-65.2225,65,
2000255N31289,FLORENCE,2000,20000916,1200,34.3,-64.2,65,
2000255N31289,FLORENCE,2000,20000916,1500,35.1926,-63.029,67,
2000255N31289,FLORENCE,2000,20000916,1800,36.1,-61.8,70,
2000255N31289,FLORENCE,2000,20000916,2100,36.9691,-60.6238,65,
2000255N31289,FLORENCE,2000,20000917,0000,37.9,-59.5,60,
2000255N31289,FLORENCE,2000,20000917,0300,38.9531,-58.453,57,
2000255N31289,FLORENCE,2000,20000917,0600,40.1,-57.4,55,
2000255N31289,FLORENCE,2000,20000917,0900,41.2405,-56.1894,52,
2000255N31289,FLORENCE,2000,20000917,1200,42.5,-55,50,
2000255N31289,FLORENCE,2000,20000917,1500,43.9455,-53.9619,50,
2000255N31289,FLORENCE,2000,20000917,1800,45.5,-53,50,
2000259N20273,GORDON,2000,20000914,1200,19.8,-87.3,25,
